Log started at Thu Sep 21 2023 22:17:32 GMT+0200 (Centraleuropæisk sommertid)
WARN	Basic/NoDuplicateExcel	itemtypes.txt - duplicate detected on lines 93 and 238 for field 'code' (ncha)
WARN	Basic/LinkedExcel	misc.txt, line 390: type 'snbg' not found for 'sg1'
WARN	Basic/LinkedExcel	misc.txt, line 391: type 'snbg' not found for 'sg2'
WARN	Basic/LinkedExcel	misc.txt, line 392: type 'snbg' not found for 'sg3'
WARN	Basic/LinkedExcel	misc.txt, line 393: type 'snbg' not found for 'sg4'
WARN	Basic/LinkedExcel	misc.txt, line 394: type 'snbg' not found for 'sg5'
WARN	Basic/LinkedExcel	misc.txt, line 395: type 'snbg' not found for 'sg6'
WARN	Basic/LinkedExcel	skills.txt, line 375: skilldesc 'splash' not found for 'SplashDamage'
WARN	Basic/LinkedExcel	skills.txt, line 387: skilldesc 'twohandsplash' not found for 'TwoHandSplash'
WARN	Basic/LinkedExcel	skills.txt, line 141: itypea2 '2hw' not found for 'Cleave'
WARN	Basic/NumericBounds	cubemain.txt, line 4949: invalid 'version' () for 'Blood Bidding DMG'
WARN	Basic/NumericBounds	cubemain.txt, line 4950: invalid 'version' () for 'Blood Bidding FHR'
WARN	Basic/NumericBounds	cubemain.txt, line 4951: invalid 'version' () for 'Blood Bidding LIFE'
WARN	Basic/NumericBounds	cubemain.txt, line 4952: invalid 'version' () for 'Blood Bidding MANA'
WARN	Basic/NumericBounds	cubemain.txt, line 4953: invalid 'version' () for 'Blood Bidding DEF'
WARN	Basic/NumericBounds	cubemain.txt, line 4954: invalid 'version' () for 'Blood Bidding RES-ALL'
WARN	Basic/NumericBounds	cubemain.txt, line 4955: invalid 'version' () for 'Blood Bidding AR'
WARN	Basic/NumericBounds	cubemain.txt, line 4956: invalid 'version' () for 'Blood Bidding FIRE%'
WARN	Basic/NumericBounds	cubemain.txt, line 4957: invalid 'version' () for 'Blood Bidding COLD%'
WARN	Basic/NumericBounds	cubemain.txt, line 4958: invalid 'version' () for 'Blood Bidding LTNG%'
WARN	Basic/NumericBounds	cubemain.txt, line 4959: invalid 'version' () for 'Blood Bidding POIS%'
WARN	Cube/ValidInputs	cubemain.txt, line 3236: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3236: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3236: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3237: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3238: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3238: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3238: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3239: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ral Rune + Perfect Ruby -> Blood Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3240: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3240: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3240: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
