Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	*eol
Gold			1						gld	1																								0
Jewelry A			1						rin	16	amu	8	jew	4	c80	2																		0
Jewelry B			1						rin	16	amu	8	jew	4	c80	2																		0
Jewelry C			1						rin	16	amu	8	jew	4	c80	2																		0
Chipped Gem			1						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	3												0
Flawed Gem			1						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	3												0
Normal Gem			1						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	3												0
CFN Gems			1						Chipped Gem	5	Flawed Gem	2	Normal Gem	1																				0
Flawless Gem			1						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	3												0
Perfect Gem			1						8pa	3	8pd	3	8pe	3	8pr	3	8ps	3	8pt	3	8pk	3												0
Gheeds Gambles			1						Gold	5	gg1	1	gg2	1	gg3	1																		0
Bidding A			1						ab1	10	bb1	10	cb1	10	db1	10	eb1	10	fb1	10														0
Bidding B			1						gb1	10	hb1	10	ib1	10	jb1	10	kb1	10	lb1	10														0
Bidding C			1						mb1	10	nb1	10	zb1	10	pb1	10	qb1	10																0
Bidding D			1						rb1	10	sb1	10	tb1	10	ub1	10	vb1	10																0
Bidding E			1						Bidding A	35	Bidding B	25	Bidding C	25	Bidding D	15																		0
Bidding A (N)			1						ab2	10	bb2	10	cb2	10	db2	10	eb2	10	fb2	10	Bidding A	50												0
Bidding B (N)			1						gb2	10	hb2	10	ib2	10	jb2	10	kb2	10	lb2	10	Bidding B	50												0
Bidding C (N)			1						mb2	10	nb2	10	zb2	10	pb2	10	qb2	10			Bidding C	50												0
Bidding D (N)			1						rb2	10	sb2	10	tb2	10	ub2	10	vb2	10	aa0	10	Bidding D	50												0
Bidding E (N)			1						Bidding A (N)	35	Bidding B (N)	25	Bidding C (N)	25	Bidding D (N)	15																		0
Bidding A (H)			1						ab3	10	bb3	10	cb3	10	db3	10	eb3	10	fb3	10	Bidding A (N)	50												0
Bidding B (H)			1						gb3	10	hb3	10	ib3	10	jb3	10	kb3	10	lb3	10	Bidding B (N)	50												0
Bidding C (H)			1						mb3	10	nb3	10	zb3	10	pb3	10	qb3	10			Bidding C (N)	50												0
Bidding D (H)			1						rb3	10	sb3	10	tb3	10	ub3	10	vb3	10	aa0	10	Bidding D (N)	50												0
Bidding E (H)			1						Bidding A (H)	35	Bidding B (H)	25	Bidding C (H)	25	Bidding D (H)	15																		0
Blood Bidding A			1						Bidding E (H)	38	bi1	2	bi2	2	bi3	2	bi4	2	bi5	2	bi6	2												0
Blood Bidding B			1						Bidding E (H)	38	bi7	2	bi8	2	bi9	2	10b	2	11b	2	12b	2												0
Blood Bidding C			1					1	Blood Bidding A	1	Blood Bidding B	1																						0
Ammo			1						aqv	1	cqv	1																						0
Misc 0			1						key	3	tsc	3	isc	3																				0
Misc 1			1						key	3	tsc	3	isc	3																				0
Misc 2			1						key	3	tsc	3	isc	3																				0
Potion 0			1						hp1	12	hp2	7	mp1	12	mp2	7					 													0
Potion 1			1						hp3	12	hp4	7	mp3	12	mp4	7																		0
Potion 2			1						hp5	24	mp5	12	rvs	8	rvl	2																		0
Runes 1			1						s01	3	s02	3	s03	2	s04	2																		0
Runes 2			1						s05	3	s06	3	s07	2	s08	2	Runes 1	24																0
Runes 3			1						s09	3	s10	3	s11	2	s12	2	Runes 2	50																0
Runes 4			1						s13	3	s14	3	s15	2	s16	2	Runes 3	100																0
Runes 5			1						s17	3	s18	3	s19	2	s20	2	Runes 4	150																0
Runes 6			1						s21	3	s22	3	s23	2	s24	2	Runes 5	200																0
Runes 7			1						s25	3	s26	3	s27	2	s28	2	Runes 6	250	lzg	2														0
Runes 8			1						s29	3	s30	3	s31	2	s32	2	Runes 7	300																0
Runes 9			1						s33	1	Runes 8	400																						0
Token			1						ses	1	seh	1	set	1	sed	1																		0
Junk			1						Potion 0	30	Misc 0	18	Ammo	18																				0
Junk (N)			1						Potion 1	30	Misc 0	18	Ammo	18																				0
Junk (H)			1						Potion 2	90	Misc 0	54	Ammo	54	Token	1																		0
Act 1 Equip A	1	0	1						weap3	7	armo3	7	6	20																				0
Act 1 Equip B	1	5	1						weap3	3	armo3	3	weap6	7	armo6	7																		0
Act 1 Equip C	1	9	1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1										0
Act 2 Equip A	1	12	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	8			36	66	0.4545			0
Act 2 Equip B	1	15	1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	15			36	96	0.625			0
